"","Id","LotArea","Street","OverallQual","RoofStyle","Foundation","Heating","CentralAir","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","PoolArea","SalePrice","SqFootage"
"266",266,12090,"Pave",6,"Gable","CBlock","GasA","Y",1422,2,0,3,1,"Gd",7,1,2,576,0,175500,1422
"267",267,11207,"Pave",6,"Gable","PConc","GasA","Y",1511,2,1,3,1,"TA",8,1,2,413,0,185000,802
"268",268,8400,"Pave",5,"Gable","PConc","GasA","Y",2192,2,1,4,1,"Gd",8,1,1,240,0,179500,1052
"269",269,6900,"Pave",5,"Gable","CBlock","GasA","Y",778,1,0,2,1,"TA",4,1,1,924,0,120500,778
"271",271,10728,"Pave",8,"Gable","PConc","GasA","Y",1939,2,1,3,1,"Gd",8,1,3,1053,0,266000,1095
"272",272,39104,"Pave",7,"Flat","CBlock","GasA","Y",1363,1,0,2,1,"TA",5,2,2,439,0,241500,1363
"275",275,8314,"Pave",5,"Gable","CBlock","GasA","Y",816,1,0,2,1,"TA",5,0,1,264,0,124500,816
"276",276,7264,"Pave",7,"Gable","BrkTil","GasW","N",1548,2,1,3,1,"Ex",5,0,2,672,0,205000,952
"278",278,19138,"Pave",4,"Gable","CBlock","GasA","Y",864,1,0,2,1,"TA",4,0,2,400,0,141000,864
"279",279,14450,"Pave",9,"Gable","PConc","GasA","Y",2121,2,1,3,1,"Ex",8,1,3,732,0,415298,2121
"280",280,10005,"Pave",7,"Hip","CBlock","GasA","Y",2022,2,1,4,1,"TA",8,1,2,505,0,192000,1156
"284",284,9612,"Pave",8,"Gable","PConc","GasA","Y",1468,2,0,3,1,"Gd",6,1,3,898,0,244600,1468
"285",285,8012,"Pave",6,"Gable","PConc","GasA","Y",1575,2,0,2,1,"Gd",5,0,2,529,0,179200,1575
"287",287,9786,"Pave",6,"Gable","CBlock","GasA","Y",1734,1,1,3,1,"Gd",7,1,2,440,0,159000,1085
"288",288,8125,"Pave",4,"Gable","CBlock","GasA","Y",858,1,0,3,1,"TA",5,0,0,0,0,88000,858
"292",292,5687,"Pave",5,"Gable","PConc","GasA","N",1716,2,0,6,1,"Fa",9,0,0,0,0,135900,936
"293",293,11409,"Pave",5,"Gable","CBlock","GasA","Y",1716,1,1,3,1,"TA",8,1,1,281,0,131000,1148
"297",297,13710,"Pave",5,"Gable","CBlock","GasA","Y",1558,1,1,4,1,"TA",6,0,1,282,0,152000,910
"298",298,7399,"Pave",7,"Hip","PConc","GasA","Y",1950,2,1,3,1,"Gd",7,1,2,576,0,239000,975
"299",299,11700,"Pave",6,"Mansard","CBlock","GasA","Y",1743,1,2,3,1,"TA",7,1,2,539,0,175000,1041
"300",300,14000,"Pave",6,"Gable","CBlock","GasA","Y",1152,1,0,3,1,"Gd",6,1,1,300,0,158500,1152
"301",301,15750,"Pave",5,"Hip","CBlock","GasA","Y",1336,1,0,2,1,"TA",5,2,1,375,0,157000,1336
"302",302,16226,"Pave",8,"Gable","PConc","GasA","Y",2452,2,1,4,1,"Gd",9,1,2,683,0,267000,1210
"303",303,13704,"Pave",7,"Gable","PConc","GasA","Y",1541,2,0,3,1,"Gd",6,1,3,843,0,205000,1541
"304",304,9800,"Pave",5,"Gable","PConc","GasA","Y",894,1,0,3,1,"TA",5,0,2,552,0,149900,894
"305",305,18386,"Pave",7,"Gable","BrkTil","GasA","Y",3493,3,0,3,1,"Gd",10,1,3,870,0,295000,1675
"306",306,10386,"Pave",8,"Gable","PConc","GasA","Y",2000,2,0,3,1,"Gd",8,0,3,888,0,305900,2000
"307",307,13474,"Pave",7,"Gable","CBlock","GasA","Y",2243,2,1,4,1,"Gd",8,1,3,746,0,225000,1122
"308",308,7920,"Pave",6,"Gable","CBlock","GasA","Y",1406,1,0,3,1,"Fa",6,0,0,0,0,89500,1035
"311",311,7685,"Pave",6,"Gable","PConc","GasA","Y",1501,2,1,3,1,"Gd",6,1,2,420,0,165600,697
"315",315,9600,"Pave",7,"Gable","BrkTil","GasA","Y",1641,1,1,3,1,"Ex",6,1,2,546,0,178000,832
"316",316,7795,"Pave",7,"Gable","PConc","GasA","Y",1432,2,1,3,1,"Gd",6,1,2,432,0,188500,716
"319",319,9900,"Pave",7,"Gable","PConc","GasA","Y",2646,2,1,4,1,"Gd",9,1,3,656,0,260000,1372
"322",322,12099,"Pave",8,"Gable","PConc","GasA","Y",2468,2,1,4,1,"Gd",10,1,3,872,0,354000,1136
"323",323,10380,"Pave",7,"Gable","CBlock","GasA","Y",2730,2,1,4,1,"Gd",8,1,2,576,0,301000,1553
"325",325,11275,"Pave",7,"Mansard","CBlock","GasA","Y",2978,2,1,5,1,"Gd",11,1,2,564,0,242000,1898
"326",326,5000,"Pave",5,"Gable","CBlock","GasA","N",803,1,0,2,1,"TA",5,0,2,360,0,87000,803
"327",327,10846,"Pave",8,"Gable","PConc","GasA","Y",1719,1,1,1,1,"Gd",6,2,2,473,0,324000,1719
"328",328,11600,"Pave",6,"Hip","CBlock","GasA","Y",1383,1,1,3,1,"TA",7,0,1,292,0,145250,1383
"330",330,6402,"Pave",5,"Gable","PConc","GasA","N",1192,1,0,3,1,"TA",6,0,1,189,0,78000,596
"331",331,10624,"Pave",5,"Gable","CBlock","GasA","Y",1728,2,0,6,2,"TA",10,0,1,352,0,119000,1728
"332",332,8176,"Pave",5,"Gable","CBlock","GasA","Y",1056,1,0,3,1,"TA",6,0,1,308,0,139000,1056
"334",334,8198,"Pave",7,"Gable","PConc","GasA","Y",1358,2,0,2,1,"Gd",6,1,2,484,0,207000,1358
"336",336,164660,"Grvl",5,"Gable","CBlock","GasA","Y",1786,2,0,3,1,"TA",7,2,2,529,0,228950,1619
"337",337,14157,"Pave",9,"Hip","PConc","GasA","Y",1922,2,0,3,1,"Gd",8,1,3,676,0,377426,1922
"339",339,14145,"Pave",7,"Gable","CBlock","GasA","Y",1621,2,0,3,1,"Gd",8,0,2,440,0,202500,1621
"340",340,12400,"Pave",6,"Hip","CBlock","GasA","Y",1215,1,0,3,1,"TA",6,0,1,297,0,155000,1215
"341",341,14191,"Pave",8,"Gable","PConc","GasA","Y",1908,2,1,4,1,"Gd",9,0,2,431,0,202900,993
"342",342,8400,"Pave",4,"Gable","CBlock","GasA","Y",841,1,0,2,1,"TA",4,0,1,294,0,82000,841
"343",343,8544,"Pave",3,"Gable","Slab","Wall","N",1040,2,0,2,2,"TA",6,0,2,400,0,87500,1040
"344",344,8849,"Pave",9,"Hip","PConc","GasA","Y",1684,2,0,2,1,"Ex",6,1,2,564,0,266000,1684
"345",345,2592,"Pave",5,"Gable","CBlock","GasA","Y",1112,1,1,3,1,"TA",4,0,1,336,0,85000,536
"346",346,6435,"Pave",6,"Gable","BrkTil","GasA","Y",1577,1,0,3,1,"Fa",6,1,1,312,0,140200,972
"347",347,12772,"Pave",6,"Hip","CBlock","GasA","Y",958,1,0,2,1,"TA",5,0,1,301,0,151500,958
"348",348,17600,"Pave",6,"Gable","CBlock","GasA","Y",1478,2,0,3,1,"TA",6,2,2,498,0,157500,1478
"349",349,2448,"Pave",7,"Gable","PConc","GasA","Y",1626,2,1,2,1,"Gd",6,0,2,474,0,154000,764
"350",350,20431,"Pave",9,"Hip","PConc","GasA","Y",2728,2,1,4,1,"Ex",10,2,3,706,0,437154,1848
"351",351,7820,"Pave",9,"Hip","PConc","GasA","Y",1869,2,0,2,1,"Ex",6,1,2,617,0,318061,1869
"352",352,5271,"Pave",7,"Gable","PConc","GasA","Y",1453,1,1,2,1,"Gd",6,1,2,445,0,190000,1453
"353",353,9084,"Pave",5,"Gable","CBlock","GasA","N",1111,1,0,3,1,"TA",5,0,1,200,0,95000,616
"354",354,8520,"Pave",6,"Gable","BrkTil","GasA","Y",720,1,0,2,1,"TA",5,0,2,484,0,105900,720
"355",355,8400,"Pave",6,"Gable","CBlock","GasA","Y",1595,1,0,2,1,"TA",6,2,1,240,0,140000,1192
"358",358,4224,"Pave",5,"Gable","PConc","GasA","Y",1142,1,1,3,1,"TA",6,1,2,528,0,134000,1142
"359",359,6930,"Pave",5,"Hip","CBlock","GasA","Y",1352,1,0,3,1,"Gd",6,0,1,288,0,130000,1352
"361",361,7540,"Pave",6,"Gable","CBlock","GasA","Y",912,1,0,2,1,"TA",5,1,2,470,0,156000,912
"362",362,9144,"Pave",5,"Gable","CBlock","GasA","Y",1505,1,0,3,1,"TA",8,0,1,240,0,145000,988
"363",363,7301,"Pave",7,"Gable","Slab","GasA","Y",1922,3,0,4,1,"Gd",7,1,2,672,0,198500,495
"364",364,1680,"Pave",6,"Gable","CBlock","GasA","Y",987,1,1,2,1,"Gd",5,0,1,264,0,118000,483
"365",365,18800,"Pave",6,"Gable","PConc","GasA","Y",1574,2,1,3,1,"TA",6,1,2,566,0,190000,790
"367",367,9500,"Pave",6,"Gable","CBlock","GasA","Y",1394,1,1,3,1,"TA",6,2,2,514,0,159000,1394
"368",368,9150,"Pave",6,"Gable","CBlock","GasA","Y",1431,1,0,3,1,"TA",6,1,1,296,0,165000,1431
"369",369,7800,"Pave",5,"Gable","PConc","GasA","Y",1268,1,0,2,1,"TA",7,1,1,244,0,132000,1268
"370",370,9830,"Pave",5,"Gable","CBlock","GasA","Y",1287,1,0,3,1,"Gd",7,1,2,576,0,162000,1287
"372",372,17120,"Pave",4,"Gable","CBlock","GasA","Y",1588,2,0,4,1,"TA",7,1,2,680,0,134432,1120
"373",373,7175,"Pave",6,"Gable","CBlock","GasA","Y",752,1,0,2,1,"TA",4,0,1,264,0,125000,752
"374",374,10634,"Pave",5,"Gable","PConc","GasA","Y",1319,1,0,3,1,"TA",5,0,1,270,0,123000,1319
"375",375,8200,"Pave",7,"Gable","PConc","GasA","Y",1928,2,1,4,1,"Gd",8,1,2,434,0,219500,847
"376",376,10020,"Pave",1,"Gable","BrkTil","GasA","N",904,0,1,1,1,"Fa",4,0,0,0,0,61000,904
"377",377,8846,"Pave",5,"Gable","PConc","GasA","Y",914,1,0,2,1,"TA",5,0,2,576,0,148000,914
"378",378,11143,"Pave",8,"Gable","PConc","GasA","Y",2466,3,0,4,1,"Gd",8,1,2,610,0,340000,1580
"379",379,11394,"Pave",9,"Hip","PConc","GasA","Y",1856,1,1,1,1,"Ex",8,1,3,834,0,394432,1856
"380",380,8123,"Pave",6,"Gable","PConc","GasA","Y",1800,2,1,3,1,"TA",7,1,2,463,0,179000,1007
"382",382,7200,"Pave",7,"Gable","PConc","GasA","Y",1301,2,0,2,1,"Gd",5,1,2,572,0,187750,1301
"383",383,9245,"Pave",7,"Gable","PConc","GasA","Y",1797,2,1,3,1,"Gd",8,0,2,639,0,213500,939
"384",384,9000,"Pave",6,"Gable","BrkTil","GasA","N",784,1,0,2,1,"TA",5,0,2,360,0,76000,784
"385",385,53107,"Pave",6,"Gable","PConc","GasA","Y",1953,2,1,3,1,"Gd",9,2,2,501,0,240000,1079
"386",386,3182,"Pave",8,"Gable","PConc","GasA","Y",1269,2,0,2,1,"Gd",6,1,2,430,0,192000,1269
"387",387,8410,"Pave",5,"Gambrel","PConc","GasA","Y",1184,1,0,5,1,"TA",8,0,0,0,0,81000,658
"388",388,7200,"Pave",6,"Hip","CBlock","GasA","Y",1125,1,0,3,1,"TA",6,1,1,352,0,125000,1125
"389",389,9382,"Pave",7,"Gable","PConc","GasA","Y",1479,2,0,3,1,"Gd",6,0,2,577,0,191000,1479
"390",390,12474,"Pave",10,"Gable","PConc","GasA","Y",2332,2,1,3,1,"Ex",9,1,3,846,0,426000,1742
"392",392,12209,"Pave",6,"Gable","PConc","GasA","Y",1961,2,1,3,1,"Gd",7,1,2,560,0,215000,804
"393",393,8339,"Pave",5,"Gable","Slab","GasA","Y",882,1,0,3,1,"TA",5,0,1,294,0,106500,882
"395",395,10134,"Pave",5,"Gable","CBlock","GasA","Y",1034,1,0,2,1,"TA",5,0,1,240,0,109000,735
"396",396,9571,"Pave",5,"Gable","CBlock","GasA","Y",1144,1,0,3,1,"TA",6,0,1,596,0,129000,1144
"398",398,7590,"Pave",5,"Gable","CBlock","GasA","Y",1812,2,0,4,1,"TA",8,1,1,264,0,169500,876
"399",399,8967,"Pave",5,"Gable","BrkTil","GasA","Y",1077,1,0,2,1,"TA",6,0,1,338,0,67000,1077
"400",400,8125,"Pave",7,"Gable","PConc","GasA","Y",1550,2,0,2,1,"Gd",7,0,2,438,0,241000,1112
"401",401,14963,"Pave",8,"Gable","PConc","GasA","Y",1288,1,1,1,1,"Ex",4,2,2,500,0,245500,1288
"402",402,8767,"Pave",7,"Gable","PConc","GasA","Y",1310,2,0,3,1,"Gd",6,1,2,400,0,164990,1310
"403",403,10200,"Pave",5,"Gable","PConc","GasA","Y",672,1,0,2,1,"TA",4,0,1,240,0,108000,672
"404",404,12090,"Pave",8,"Hip","PConc","GasA","Y",2263,2,1,4,1,"Gd",10,1,2,420,0,258000,1165
"405",405,10364,"Pave",6,"Gable","PConc","GasA","Y",1572,2,1,3,1,"TA",7,1,2,373,0,168000,806
"406",406,9991,"Pave",4,"Gable","CBlock","GasA","Y",1620,2,0,3,1,"TA",8,1,2,490,0,150000,1620
"407",407,10480,"Pave",6,"Gable","BrkTil","GasA","Y",1639,1,0,3,1,"TA",6,0,1,240,0,115000,1166
"408",408,15576,"Pave",6,"Gable","BrkTil","GasA","Y",1680,2,0,4,1,"TA",8,0,1,308,0,177000,840
"410",410,10800,"Pave",8,"Gable","PConc","GasA","Y",2078,2,1,3,1,"Ex",8,1,3,836,0,339750,1050
"411",411,9571,"Pave",5,"Gable","CBlock","GasA","Y",1276,1,0,3,1,"TA",5,0,1,350,0,60000,1276
"412",412,34650,"Pave",5,"Hip","CBlock","GasA","N",1056,1,0,3,1,"TA",5,0,2,572,0,145000,1056
"414",414,8960,"Pave",5,"Gable","CBlock","GasA","Y",1028,1,0,2,1,"TA",5,1,2,360,0,115000,1028
"415",415,11228,"Pave",7,"Gable","PConc","GasA","Y",2097,2,1,3,1,"Gd",9,1,3,678,0,228000,1080
"416",416,8899,"Pave",7,"Gable","PConc","GasA","Y",1340,2,0,3,1,"Gd",6,0,2,396,0,181134,1340
"417",417,7844,"Pave",6,"Hip","CBlock","GasA","Y",1400,1,1,3,1,"TA",6,1,2,440,0,149500,672
"420",420,8450,"Pave",5,"Gable","CBlock","GasA","Y",1056,1,0,3,1,"TA",6,1,1,304,0,142000,1056
"421",421,7060,"Pave",7,"Gable","PConc","GasA","Y",1344,2,0,2,2,"TA",8,0,4,784,0,206300,1344
"422",422,16635,"Pave",6,"Gable","CBlock","GasA","Y",1602,2,0,3,1,"Gd",8,1,2,529,0,215000,1602
"425",425,9000,"Pave",6,"Gable","CBlock","GasA","Y",1196,1,0,2,1,"TA",6,1,1,297,0,139000,1196
"426",426,3378,"Pave",7,"Gable","CBlock","GasA","Y",1389,1,1,3,1,"TA",6,2,1,240,0,135000,707
"427",427,12800,"Pave",7,"Gable","PConc","GasA","Y",1644,2,0,2,1,"Gd",5,1,2,569,0,275000,1644
"428",428,8593,"Pave",4,"Hip","CBlock","GasA","Y",907,1,0,3,1,"TA",5,0,1,352,0,109008,907
"429",429,6762,"Pave",7,"Gable","PConc","GasA","Y",1208,2,0,2,1,"Gd",6,0,2,628,0,195400,1208
"430",430,11457,"Pave",6,"Gable","CBlock","GasA","Y",1412,2,0,3,1,"Gd",6,1,2,576,0,175000,1412
"431",431,1680,"Pave",6,"Gable","CBlock","GasA","Y",987,1,1,2,1,"TA",4,0,1,264,0,85400,483
"433",433,1920,"Pave",5,"Gable","CBlock","GasA","Y",1365,1,1,2,1,"TA",6,0,2,440,0,122500,765
"435",435,1890,"Pave",4,"Gable","CBlock","GasA","Y",630,1,0,1,1,"TA",3,0,0,0,0,81000,630
"436",436,10667,"Pave",7,"Gable","PConc","GasA","Y",1661,2,1,3,1,"Gd",6,1,2,550,0,212000,827
"437",437,4400,"Pave",6,"Gable","BrkTil","GasA","Y",1118,1,0,2,1,"TA",6,0,2,440,0,116000,734
"438",438,6000,"Pave",6,"Gable","PConc","GasA","Y",904,1,0,2,1,"TA",4,0,1,180,0,119000,904
"440",440,12354,"Pave",6,"Gable","BrkTil","GasA","Y",1196,1,0,3,1,"Gd",7,0,2,528,0,110000,684
"441",441,15431,"Pave",10,"Hip","PConc","GasA","Y",2402,2,0,2,1,"Ex",10,2,3,672,0,555000,2402
"442",442,12108,"Pave",4,"Gable","CBlock","GasA","N",1440,2,0,4,2,"Fa",8,0,0,0,0,118000,1440
"444",444,3922,"Pave",7,"Gable","PConc","GasA","Y",1258,2,0,2,1,"Gd",6,1,3,648,0,172500,1258
"445",445,8750,"Pave",7,"Gable","PConc","GasA","Y",1908,2,1,4,1,"Gd",8,1,2,493,0,210000,933
"446",446,9855,"Pave",6,"Hip","CBlock","GasA","Y",1689,1,0,3,1,"TA",7,1,2,480,0,127500,1689
"447",447,16492,"Pave",6,"Gable","CBlock","GasA","Y",1888,2,1,2,1,"Gd",6,1,2,578,0,190000,1888
"450",450,6000,"Pave",3,"Gable","CBlock","GasA","Y",1183,1,1,2,1,"TA",6,0,1,308,0,120000,679
"451",451,5684,"Pave",6,"Hip","BrkTil","GasA","Y",813,1,0,2,1,"Gd",5,0,1,270,0,110000,813
"455",455,9297,"Pave",5,"Gable","CBlock","GasA","Y",1728,2,0,4,2,"TA",8,0,2,560,0,188000,1728
"456",456,9600,"Pave",7,"Hip","CBlock","GasA","Y",1242,1,1,3,1,"TA",6,1,2,528,0,175500,1242
"457",457,4571,"Pave",5,"Gable","BrkTil","GasA","N",1344,1,0,4,1,"TA",7,0,3,513,0,98000,624
"459",459,5100,"Pave",8,"Hip","PConc","GasA","Y",1666,1,0,3,1,"Gd",7,1,1,228,0,161000,833
"460",460,7015,"Pave",5,"Gable","CBlock","GasA","Y",1203,1,0,3,1,"Gd",5,1,1,352,0,110000,979
"461",461,8004,"Pave",8,"Gable","PConc","GasA","Y",1935,2,1,3,1,"TA",8,0,2,552,0,263435,832
"462",462,7200,"Pave",7,"Gable","PConc","GasA","Y",1135,1,0,3,1,"Gd",6,0,2,576,0,155000,575
"463",463,8281,"Pave",5,"Gable","CBlock","GasA","Y",864,1,0,3,1,"TA",5,1,1,360,0,62383,864
"464",464,11988,"Pave",6,"Hip","CBlock","GasA","Y",1660,1,1,3,1,"TA",6,1,1,240,0,188700,849
"465",465,8430,"Pave",5,"Gable","CBlock","GasA","Y",1040,2,0,3,1,"TA",5,0,0,0,0,124000,1040
"467",467,10628,"Pave",7,"Flat","CBlock","GasA","Y",1277,1,0,2,1,"TA",5,1,2,526,0,167000,1277
"469",469,11428,"Pave",8,"Gable","PConc","GasA","Y",1634,2,0,3,1,"Gd",7,1,3,866,0,250000,1634
"471",471,6820,"Pave",8,"Gable","PConc","GasA","Y",1502,1,1,1,1,"Gd",4,0,2,528,0,212000,1502
"472",472,11952,"Pave",7,"Mansard","CBlock","GasA","Y",1969,2,1,3,1,"TA",8,1,2,534,0,190000,1161
"473",473,3675,"Pave",6,"Gable","PConc","GasA","Y",1072,1,0,2,1,"TA",5,0,2,525,0,148000,1072
"474",474,14977,"Pave",8,"Gable","PConc","GasA","Y",1976,2,0,2,1,"Gd",7,1,3,908,0,440000,1976
"475",475,5330,"Pave",8,"Gable","PConc","GasA","Y",1652,2,0,2,1,"Ex",6,0,2,499,0,251000,1652
"477",477,13125,"Pave",6,"Gable","PConc","GasA","Y",1493,2,0,3,1,"Gd",7,1,2,508,0,208900,1493
"478",478,13693,"Pave",9,"Hip","PConc","GasA","Y",2643,2,1,3,1,"Ex",9,1,3,694,0,380000,2069
"479",479,10637,"Pave",8,"Hip","PConc","GasA","Y",1718,2,0,3,1,"Gd",7,1,3,826,0,297000,1718
"480",480,5925,"Pave",4,"Hip","BrkTil","GasA","Y",1131,1,0,2,1,"TA",7,0,2,672,0,89471,1131
"481",481,16033,"Pave",9,"Hip","PConc","GasA","Y",1850,2,0,3,1,"Gd",8,1,3,772,0,326000,1850
"482",482,11846,"Pave",9,"Hip","PConc","GasA","Y",1792,2,0,2,1,"Ex",6,1,3,874,0,374000,1792
"485",485,7758,"Pave",5,"Gable","CBlock","GasA","Y",999,1,0,3,1,"Gd",6,0,1,264,0,132500,999
"487",487,10289,"Pave",5,"Hip","CBlock","GasA","Y",1073,1,1,3,1,"TA",6,0,2,515,0,156000,1073
"490",490,1526,"Pave",4,"Gable","CBlock","GasA","Y",630,1,0,1,1,"Gd",3,0,1,286,0,86000,630
"491",491,2665,"Pave",5,"Gable","PConc","GasA","Y",1304,1,1,3,1,"TA",4,1,1,336,0,115000,616
"493",493,15578,"Pave",6,"Gable","PConc","GasA","Y",1456,2,1,3,1,"TA",8,0,2,429,0,172785,728
"495",495,5784,"Pave",5,"Gable","BrkTil","GasA","Y",886,1,0,2,1,"TA",4,0,1,273,0,91300,886
"497",497,12692,"Pave",8,"Hip","PConc","GasA","Y",3228,3,0,4,1,"Gd",10,1,2,546,0,430000,3228
"500",500,7535,"Pave",5,"Gable","CBlock","GasA","Y",912,1,0,2,1,"TA",5,0,1,297,0,120000,912
"501",501,1890,"Pave",6,"Gable","CBlock","GasA","Y",1218,1,1,3,1,"TA",7,0,1,264,0,113000,672
"502",502,9803,"Pave",7,"Gable","PConc","GasA","Y",1768,2,1,3,1,"Gd",7,0,2,603,0,226700,866
"503",503,9170,"Pave",5,"Hip","CBlock","GasA","Y",1214,1,0,2,1,"TA",6,0,2,461,0,140000,1214
"505",505,2308,"Pave",6,"Gable","CBlock","GasA","Y",1322,2,1,3,1,"TA",6,1,2,440,0,147000,855
"506",506,7596,"Pave",5,"Hip","CBlock","GasA","Y",1960,2,0,4,2,"TA",10,0,2,400,0,124500,960
"507",507,9554,"Pave",8,"Gable","PConc","GasA","Y",1911,2,1,3,1,"Gd",8,1,2,471,0,215000,1065
"509",509,9600,"Pave",7,"Gambrel","BrkTil","GasA","Y",1378,2,0,3,1,"Gd",7,1,2,360,0,161000,689
"511",511,14559,"Pave",5,"Hip","CBlock","GasA","Y",1363,1,0,2,1,"TA",6,2,1,288,0,164900,1363
"512",512,6792,"Pave",7,"Gable","PConc","GasA","Y",1368,2,0,2,1,"Gd",6,1,2,474,0,202665,1368
"513",513,9100,"Pave",5,"Gable","CBlock","GasA","Y",864,1,0,3,1,"TA",5,0,2,624,0,129900,864
"514",514,9187,"Pave",6,"Gable","PConc","GasA","Y",1080,1,1,3,1,"TA",5,0,2,484,0,134000,1080
"515",515,10594,"Pave",5,"Gable","BrkTil","Grav","N",789,1,0,2,1,"TA",5,0,1,200,0,96500,789
"517",517,10448,"Pave",6,"Gable","CBlock","GasA","Y",2119,2,1,3,1,"TA",7,1,2,583,0,158000,1378
"518",518,10208,"Pave",7,"Gable","PConc","GasA","Y",2344,2,1,3,1,"Gd",7,1,3,889,0,265000,1277
"519",519,9531,"Pave",6,"Gable","PConc","GasA","Y",1796,2,1,3,1,"TA",7,0,2,546,0,211000,882
"520",520,10918,"Pave",7,"Gambrel","BrkTil","GasA","Y",2080,1,1,3,1,"Gd",9,2,1,282,0,234000,1276
"522",522,11988,"Pave",6,"Gable","CBlock","GasA","Y",1244,1,1,3,1,"TA",6,2,1,336,0,150000,1244
"523",523,5000,"Pave",6,"Gable","CBlock","GasA","Y",1664,2,0,3,1,"TA",7,2,2,420,0,159000,1004
"524",524,40094,"Pave",10,"Hip","PConc","GasA","Y",4676,3,1,3,1,"Ex",11,1,3,884,0,184750,3138
"526",526,7500,"Pave",7,"Gable","PConc","GasA","Y",1266,2,0,3,1,"Gd",6,1,2,453,0,176000,1266
"527",527,13300,"Pave",5,"Hip","CBlock","GasA","Y",928,1,0,2,1,"TA",4,0,1,252,0,132000,928
"528",528,14948,"Pave",9,"Hip","PConc","GasA","Y",2713,2,1,3,1,"Ex",11,1,3,858,0,446261,1476
"529",529,9098,"Pave",4,"Gable","BrkTil","GasA","Y",605,1,0,2,1,"TA",5,0,0,0,0,86000,605
"530",530,32668,"Pave",6,"Hip","PConc","GasA","Y",2515,3,0,4,2,"TA",9,2,2,484,0,200624,2515
"531",531,10200,"Pave",6,"Gable","CBlock","GasA","Y",1509,2,0,3,1,"Gd",5,1,2,600,0,175000,1509
"532",532,6155,"Pave",6,"Gable","BrkTil","GasA","Y",1362,2,0,3,1,"TA",6,0,2,502,0,128000,751
"533",533,7200,"Pave",5,"Gable","Slab","GasA","Y",827,1,0,2,1,"TA",5,1,1,392,0,107500,827
"534",534,5000,"Pave",1,"Gable","Slab","GasA","N",334,1,0,1,1,"Fa",2,0,0,0,0,39300,334
"535",535,9056,"Pave",8,"Gable","PConc","GasA","Y",1414,2,1,3,1,"Gd",6,1,2,403,0,178000,707
"536",536,7000,"Pave",5,"Gable","CBlock","GasA","Y",1347,1,0,3,1,"TA",5,0,0,0,0,107500,820
"537",537,8924,"Pave",7,"Gable","PConc","GasA","Y",1724,2,1,3,1,"Gd",8,0,2,527,0,188000,880
"538",538,12735,"Pave",4,"Hip","CBlock","GasA","Y",864,1,0,3,1,"TA",5,0,2,576,0,111250,864
"539",539,11553,"Pave",5,"Hip","CBlock","GasA","Y",1159,1,1,3,1,"TA",7,1,1,336,0,158000,1159
"540",540,11423,"Pave",8,"Gable","PConc","GasA","Y",1601,2,0,3,1,"Gd",6,1,2,670,0,272000,1601
"541",541,14601,"Pave",9,"Hip","PConc","GasA","Y",1838,2,0,2,1,"Ex",8,1,3,765,0,315000,1838
"543",543,10140,"Pave",7,"Hip","PConc","GasA","Y",1680,2,0,3,1,"Gd",7,1,2,583,0,213250,1680
"544",544,4058,"Pave",7,"Gable","PConc","GasA","Y",767,1,0,1,1,"TA",4,0,1,367,0,133000,767
"545",545,17104,"Pave",7,"Gable","PConc","GasA","Y",1496,2,1,3,1,"Gd",7,1,2,426,0,179665,664
"547",547,8737,"Pave",6,"Gable","BrkTil","GasA","Y",1635,1,1,3,1,"TA",6,1,2,440,0,210000,915
"549",549,8235,"Pave",5,"Gable","CBlock","GasA","Y",825,1,0,2,1,"TA",4,0,2,720,0,125000,825
"550",550,9375,"Pave",7,"Gable","PConc","GasA","Y",2094,2,1,4,1,"Gd",8,1,2,615,0,263000,912
"551",551,4043,"Pave",6,"Gable","CBlock","GasA","Y",1069,2,0,2,1,"TA",4,0,2,440,0,140000,1069
"552",552,6000,"Pave",5,"Hip","CBlock","GasA","Y",928,1,0,3,1,"TA",5,0,1,288,0,112500,928
"554",554,8777,"Pave",4,"Gable","CBlock","GasA","Y",1126,2,0,2,1,"Gd",5,0,2,520,0,108000,1126
"556",556,6380,"Pave",5,"Gable","BrkTil","GasA","Y",1048,1,0,2,1,"TA",5,1,1,280,0,113000,1048
"558",558,11040,"Pave",4,"Gable","CBlock","GasA","Y",1336,1,1,3,1,"TA",7,0,1,570,0,108000,897
"559",559,21872,"Pave",7,"Gable","PConc","GasA","Y",1446,2,1,3,1,"TA",6,1,2,406,0,175000,729
"560",560,3196,"Pave",7,"Gable","PConc","GasA","Y",1557,2,0,2,1,"Gd",7,1,2,420,0,234000,1557
"561",561,11341,"Pave",5,"Hip","CBlock","GasA","Y",1392,1,1,3,1,"TA",5,1,2,528,0,121500,1392
"563",563,13907,"Pave",5,"Gable","CBlock","GasA","Y",996,1,0,3,1,"TA",6,1,0,0,0,108000,996
"564",564,21780,"Pave",6,"Gable","BrkTil","GasA","Y",1674,2,0,4,1,"TA",8,1,2,396,0,185000,1163
"565",565,13346,"Pave",7,"Gable","PConc","GasA","Y",2295,2,1,4,1,"Gd",9,1,2,590,0,268000,1166
"566",566,6858,"Pave",6,"Gable","PConc","GasA","N",1647,1,1,4,1,"Fa",6,0,1,216,0,128000,841
